typ	fakultaet	widmung	name	jahr
TT	Historisch-Kulturwissenschaftliche Fakultät	Neuere Geschichte Zentral- und Osteuropas und der Habsburgermonarchie	Börries Kuzmany	2019
UP	Historisch-Kulturwissenschaftliche Fakultät	Numismatik und Geldgeschichte (Schwerpunkt Antike)	Bernhard Woytek	2024
TT	Historisch-Kulturwissenschaftliche Fakultät	Österreichische Geschichte – Geschichte der Habsburgermonarchie seit dem 16. Jahrhundert	Kolja Lichy	2025
TT	Historisch-Kulturwissenschaftliche Fakultät	Paläolithische Archäozoologie	Dorothea Maria Bosch	2026
UP	Historisch-Kulturwissenschaftliche Fakultät	Public History	Marko Demantowsky	2021
TT	Historisch-Kulturwissenschaftliche Fakultät	Quantitative Wirtschaftsgeschichte	Leonard Kukic	2025
TT	Historisch-Kulturwissenschaftliche Fakultät	Räumliche Methoden und Ansätze in der Mediävistik	Mária Varghá	2024
UP	Historisch-Kulturwissenschaftliche Fakultät	Sir Peter Ustinov Gastprofessur der Stadt Wien 2026 an der Universität Wien	Simon Strick	2026
UP	Historisch-Kulturwissenschaftliche Fakultät	Sozial- und Kulturgeschichte des 19. und 20. Jahrhunderts	Michael Suter	2026
UP	Historisch-Kulturwissenschaftliche Fakultät	Urgeschichte des Menschen	Katharina Rebay-Salisbury	2023
TT	Historisch-Kulturwissenschaftliche Fakultät	Wirtschafts- und Sozialgeschichte des Mittelalters	Isabelle Schürch	2026
UP	Historisch-Kulturwissenschaftliche Fakultät	Wirtschafts- und Sozialgeschichte des Späten Mittelalters und der Frühen Neuzeit (1300-1800)	Juliane Schiel	2025
TT	Historisch-Kulturwissenschaftliche Fakultät	Wissenschaftsgeschichte der Frühen Neuzeit	Sebastian Felten	2023
TT	Historisch-Kulturwissenschaftliche Fakultät	Wissenschaftsgeschichte der Naturwissenschaften	Nils Güttler	2022
TT	Historisch-Kulturwissenschaftliche Fakultät	Wissensgeschichte und politische Epistemologien von Biowissenschaften und Medizin im 20. Jahrhundert	Birgit Nemec	2024
UP	Historisch-Kulturwissenschaftliche Fakultät	Zeitgeschichte: Österreichische Zeitgeschichte seit 1918 im internationalen Kontext	Lucile Dreidemy	2024
UP	Historisch-Kulturwissenschaftliche Fakultät und Zentrum für Lehrer*innenbildung	Didaktik des Unterrichtsfaches Geschichte und Politische Bildung	Georg Marschnig	2023
UP	Historisch-Kulturwissenschaftliche Fakultät und Zentrum für Lehrer*innenbildung	Geschichtsdidaktik mit besonderer Berücksichtigung der Pragmatik	Lukas Meißel	2026
TT	Katholisch-Theologische Fakultät	Alevitisch-theologische Studien	Riza Yildirim	2025
UP	Katholisch-Theologische Fakultät	Alttestamentliche Bibelwissenschaft	Agnethe Siquans	2019
UP	Katholisch-Theologische Fakultät	Christliche Philosophie	Johann Schelkshorn	2019
TT	Katholisch-Theologische Fakultät	Interkulturelle Religionsphilosophie	Sarhan Dhouib	2026
UP	Katholisch-Theologische Fakultät	Islam in der Gegenwartsgesellschaft	Zekirija Sejdini	2025
TT	Katholisch-Theologische Fakultät	Islamische Theologie	Tuğrul Kurt	2024
UP	Katholisch-Theologische Fakultät	Kirchenrecht und Religionsrecht	Andreas Kowatsch	2019
UP	Katholisch-Theologische Fakultät	Neutestamentliche Bibelwissenschaft	Markus Tiwald	2019
UP	Katholisch-Theologische Fakultät	Praktische Theologie und interreligiöser Dialog	Regina Polak	2025
TT	Katholisch-Theologische Fakultät	Religion und Ästhetik	Helmut Jakob Deibl	2019
UP	Katholisch-Theologische Fakultät	Religionsphilosophie und Philosophische Anthropologie	Isabella Guanzini	2026
TT	Katholisch-Theologische Fakultät	Religionstheorien	Nickolas Panayiotis Roubekas	2025
TT	Katholisch-Theologische Fakultät	Social Science of Religion	Astrid Mattes-Zippenfenig	2022
UP	Katholisch-Theologische Fakultät	Sozialethik	Alexander Filipovic	2021
UP	Katholisch-Theologische Fakultät	Theologie des christlichen Ostens	Thomas Mark Németh	2019
UP	Max Perutz Labs	Advanced Microscopy and Cellular Dynamics	Jonas Ries	2023
UP	Max Perutz Labs	Cell and Developmental Biology	Joao Matos	2020
TT	Max Perutz Labs	Cellular Quality Control	Stephanie Ellis	2022
TT	Max Perutz Labs	Mechanistic Cell Biology	Pim Joannes Huis in´t Veld	2023
UP	Max Perutz Labs	Meiosis Biologie	Peter Schlögelhofer	2022
UP	Max Perutz Labs	Molecular Biology	Alwin Köhler	2020
TT	Max Perutz Labs	Neuronal Cell- and Developmental Biology	Florian Raible	2020
UP	Max Perutz Labs	RNA-Biologie	Stefan Ludwig Ameres	2020
TT	Max Perutz Labs	Structural Biology	Irma Querques	2023
TT	Philologisch-Kulturwissenschaftliche Fakultät	Ältere deutsche Literatur	Rabea Kohnen	2019
UP	Philologisch-Kulturwissenschaftliche Fakultät	Ältere deutsche Literatur mit besonderer Berücksichtigung des Spätmittelalters	Coralie Rippl-Uhlenhut	2026
UP	Philologisch-Kulturwissenschaftliche Fakultät	Angewandte Sprachwissenschaft des gegenwärtigen Englischen	Britta Schneider	2026
UP	Philologisch-Kulturwissenschaftliche Fakultät	Anglistische Kultur- und Literaturwissenschaft	Monika Pietrzak-Franger	2019
TT	Philologisch-Kulturwissenschaftliche Fakultät	Anglophone Cultural Studies	Katharina Wiedlack	2022
TT	Philologisch-Kulturwissenschaftliche Fakultät	Anglophone Literature and Mediality	Julia Lajta-Novak	2021
TT	Philologisch-Kulturwissenschaftliche Fakultät	Buddhismuskunde	Christopher Jones	2023
TT	Philologisch-Kulturwissenschaftliche Fakultät	Comparative Literature with a focus on African Literature	Rémi-Armand Tchokothe	2020
TT	Philologisch-Kulturwissenschaftliche Fakultät	Deutsch als Fremdsprache	Michael Seyfarth	2026
TT	Philologisch-Kulturwissenschaftliche Fakultät	Diachrone Syntax	Laura Grestenberger	2025
UP	Philologisch-Kulturwissenschaftliche Fakultät	Digitale Korpuslinguistik	Hannes Fellner	2025
UP	Philologisch-Kulturwissenschaftliche Fakultät	Digitales Edieren	Gabriel Viehhauser	2024
TT	Philologisch-Kulturwissenschaftliche Fakultät	English Corpus Linguistics and Quantitative Analysis	Igor Yanovich	2021
UP	Philologisch-Kulturwissenschaftliche Fakultät	Französische und italienische Literatur- und Medienwissenschaft	Judith Frömmer	2022
UP	Philologisch-Kulturwissenschaftliche Fakultät	Französische und spanische Literatur- und Kulturwissenschaft	Teresa Hiergeist	2020
TT	Philologisch-Kulturwissenschaftliche Fakultät	Germanistische Linguistik: Sprachkontakt und Mehrsprachigkeit	Patrick Wolf-Farré	2023
UP	Philologisch-Kulturwissenschaftliche Fakultät	Germanistische Sprachwissenschaft	Verena Sauer	2024
TT	Philologisch-Kulturwissenschaftliche Fakultät	Germanistische Sprachwissenschaft: Digitale Linguistik	Andreas Baumann	2023
TT	Philologisch-Kulturwissenschaftliche Fakultät	Italienische Literatur-, Kultur-, Medienwissenschaft	Tomasso Meozzi	2024
UP	Philologisch-Kulturwissenschaftliche Fakultät	Jiddische Literatur- und Kulturwissenschaft	Astrid Lembke	2020
UP	Philologisch-Kulturwissenschaftliche Fakultät	Korean Studies	Jerome De Wit	2023
UP	Philologisch-Kulturwissenschaftliche Fakultät	Kultur- und Geistesgeschichte des vormodernen Südasien	Nina Mirnig	2025
UP	Philologisch-Kulturwissenschaftliche Fakultät	Kultur- und Ideengeschichte der islamischen Welt	Katharina Ivanyi	2025
TT	Philologisch-Kulturwissenschaftliche Fakultät	Mittellateinische und Spätlateinische Philologie	Katja Weidner	2021
TT	Philologisch-Kulturwissenschaftliche Fakultät	Musikkulturen des 20./21. Jahrhunderts, unter besonderer Berücksichtigung der Populären Musik	Marc Brooks	2023
UP	Philologisch-Kulturwissenschaftliche Fakultät	Neuere deutsche Literatur mit besonderer Berücksichtigung der österreichischen Literatur	Norbert Christian Wolf	2020
UP	Philologisch-Kulturwissenschaftliche Fakultät	Neuere deutsche Literatur unter besonderer Berücksichtigung der österreichischen Literatur	Günther Stocker	2022
UP	Philologisch-Kulturwissenschaftliche Fakultät	Neuere deutsche Literatur unter besonderer Berücksichtigung des 17. und 18. Jahrhunderts	Michael Auer	2022
UP	Philologisch-Kulturwissenschaftliche Fakultät	Neuere deutsche Literatur unter besonderer Berücksichtigung von Literatur- und Medientheorie	Burkhardt Johannes Wolf	2019
TT	Philologisch-Kulturwissenschaftliche Fakultät	Neuere deutsche Literatur. Digitale Literaturwissenschaft	Axel Pichler	2025
TT	Philologisch-Kulturwissenschaftliche Fakultät	Neuere deutsche Literaturwissenschaft mit besonderer Berücksichtigung der Jugend- und Popkultur	Dariya Manova	2022
TT	Philologisch-Kulturwissenschaftliche Fakultät	Neuromedialität	Anja-Xiaoxing Cui	2022
TT	Philologisch-Kulturwissenschaftliche Fakultät	Politik Japans	Hanno Jentzsch	2024
TT	Philologisch-Kulturwissenschaftliche Fakultät	Politiken des Medialen	Nicole Kandioler-Biet	2020
UP	Philologisch-Kulturwissenschaftliche Fakultät	Psycholinguistics	Jutta L. Müller	2020
TT	Philologisch-Kulturwissenschaftliche Fakultät	Romanische Sprachwissenschaft	Albert Wall	2020
UP	Philologisch-Kulturwissenschaftliche Fakultät	Sinologie	Rosella Ferrari	2020
TT	Philologisch-Kulturwissenschaftliche Fakultät	Soziolinguistik des Deutschen (Deutsch in Österreich)	Barbara Soukup-Kirchner	2019
TT	Philologisch-Kulturwissenschaftliche Fakultät	Sprache und Literatur der frühgriechischen Dichtung	Bernardo Ballesteros Petrella	2023
TT	Philologisch-Kulturwissenschaftliche Fakultät	Sprachen und Kulturen des modernen Südasien	Borayin Larios	2024
UP	Philologisch-Kulturwissenschaftliche Fakultät	Theater- und Medienkulturen der Neuzeit	Anke Charton	2026
UP	Philologisch-Kulturwissenschaftliche Fakultät	Theoretische und Experimentelle Sprachwissenschaft	Kriszta E. Szendrői	2022
UP	Philologisch-Kulturwissenschaftliche Fakultät	Tibetologie	Jim Rheingans	2023
TT	Philologisch-Kulturwissenschaftliche Fakultät	Turksprachen und -literaturen Zentralasiens von der frühen Neuzeit bis zur Gegenwart	Jeanine Dağyeli	2021
TT	Philologisch-Kulturwissenschaftliche Fakultät	Ungarische Literatur im europäischen Kontext	Sándor Hites	2026
UP	Philologisch-Kulturwissenschaftliche Fakultät	Vergleichende Literaturwissenschaft	Solveig Elisabeth Nitzke	2026
TT	Philologisch-Kulturwissenschaftliche Fakultät	Weltliteratur/World Literature	Paula Wojcik	2019
TT	Philologisch-Kulturwissenschaftliche Fakultät	West Slavic Literatures and Cultures	Anna Seidel	2025
UP	Philologisch-Kulturwissenschaftliche Fakultät und Zentrum für Lehrer*innenbildung	Sprachlernforschung mit Schwerpunkt Englisch	Susanne Maria Reiterer	2022
UP	Rechtswissenschaftliche Fakultät	Arbeits- und Sozialrecht	Elisabeth Brameshuber	2020
UP	Rechtswissenschaftliche Fakultät	Arbeits- und Sozialrecht	Erika Kovacs	2026
UP	Rechtswissenschaftliche Fakultät	Europäisches und internationales Zivilverfahrensrecht	Christian Koller	2020
TT	Rechtswissenschaftliche Fakultät	Europarecht	Lena Hornkohl	2022
UP	Rechtswissenschaftliche Fakultät	Finanzrecht	Caroline Heber	2023
UP	Rechtswissenschaftliche Fakultät	Globalisierung und Rechtspluralismus	Lena Foljanty	2020
UP	Rechtswissenschaftliche Fakultät	Grund- und Menschenrechte	Michael Lysander Fremuth	2022
UP	Rechtswissenschaftliche Fakultät	Innovation und Öffentliches Recht	Iris Eisenberger	2022
UP	Rechtswissenschaftliche Fakultät	Innovation und Recht	Florian Möslein	2026
TT	Rechtswissenschaftliche Fakultät	Internationale Streitbeilegung	Florian Scholz-Berger	2021
UP	Rechtswissenschaftliche Fakultät	Internationales Recht	Michael Waibel	2019
UP	Rechtswissenschaftliche Fakultät	Internationales Unternehmens- und Wirtschaftsrecht	Chris Thomale	2020
TT	Rechtswissenschaftliche Fakultät	Kriminologie	Monika Stempkowski	2025
UP	Rechtswissenschaftliche Fakultät	Medizinrecht	Karl Stöger	2020
UP	Rechtswissenschaftliche Fakultät	Öffentliches Recht	Claudia Wutscher	2026
TT	Rechtswissenschaftliche Fakultät	Öffentliches Recht im internationalen Kontext	Lorenz Dopplinger	2026
UP	Rechtswissenschaftliche Fakultät	Öffentliches Recht in seinen europäischen Bezügen	Anuscheh Farahat	2024
TT	Rechtswissenschaftliche Fakultät	Österreichische Rechts- und Verfassungsgeschichte	Kamila Staudigl-Ciechowicz	2024
UP	Rechtswissenschaftliche Fakultät	Österreichisches und Europäisches Zivilrecht	Gabriel Kogler	2022
UP	Rechtswissenschaftliche Fakultät	Österreichisches und Europäisches Zivilrecht	Olaf Riss	2025
UP	Rechtswissenschaftliche Fakultät	Privatrecht, Internationales Privatrecht und Rechtsvergleichung	Matthias Lehmann	2020
TT	Rechtswissenschaftliche Fakultät	Privatrechtsvergleichung mit besonderem Schwerpunkt in Umweltrecht	Stephanie Nitsch	2022
UP	Rechtswissenschaftliche Fakultät	Rechtsethik und Rechtsphilosophie	Anne Kühler	2023
TT	Rechtswissenschaftliche Fakultät	Romanistische Fundamente Europäischer Privatrechte	Lisa Isola	2024
UP	Rechtswissenschaftliche Fakultät	Romanistische Grundlagen europäischer Privatrechte	José-Domingo Rodriguez Martin	2021
UP	Rechtswissenschaftliche Fakultät	Strafrecht und Strafprozessrecht	Ingeborg Zerbes	2019
UP	Rechtswissenschaftliche Fakultät	Strafrecht, Strafprozessrecht und Polizeirecht	Farsam Salimi	2025
UP	Rechtswissenschaftliche Fakultät	Unternehmensrecht	Jannik Otto	2026
UP	Rechtswissenschaftliche Fakultät	Verfassungsrecht	Harald Eberhard	2023
UP	Rechtswissenschaftliche Fakultät	Verwaltungsrecht	Dragana Damjanovic	2025
UP	Rechtswissenschaftliche Fakultät	Zivilverfahrensrecht	Burkhard Hess	2023
UP	Zentrum für Lehrer*innenbildung	Allgemeine Fachdidaktik	Martin Rothgangel	2024
UP	Zentrum für Lehrer*innenbildung	Digitalisierung im Bildungsbereich	Fares Kayali	2020
TT	Zentrum für Lehrer*innenbildung	Pädagogische Diagnostik und Beratung in der Schule	Jennifer Meyer	2025
TT	Zentrum für Mikrobiologie und Umweltsystemwissenschaft	Complex Systems Science in Microbiome Research	Shaul Pollak Pasternak	2024
UP	Zentrum für Mikrobiologie und Umweltsystemwissenschaft	Ecology and evolution of marine chemosynthetic symbioses	Jillian Petersen	2025
TT	Zentrum für Mikrobiologie und Umweltsystemwissenschaft	Environmental Biotransformation	Michael Zumstein	2022
TT	Zentrum für Mikrobiologie und Umweltsystemwissenschaft	Environmental Contaminants	Sarah Pati	2024
TT	Zentrum für Mikrobiologie und Umweltsystemwissenschaft	Environmental Systems Research	Mark Anthony	2024
TT	Zentrum für Mikrobiologie und Umweltsystemwissenschaft	Immunobiology	Clarissa Campbell	2026
TT	Zentrum für Mikrobiologie und Umweltsystemwissenschaft	Microbial Eukaryotes	Megan Sørensen	2026
TT	Zentrum für Mikrobiologie und Umweltsystemwissenschaft	Microbiology of aquatic ecosystems	Barbara Bayer	2024
UP	Zentrum für Mikrobiologie und Umweltsystemwissenschaft	Mikrobielle Populationsbiologie und -genetik	Martin F. Polz	2020
TT	Zentrum für Mikrobiologie und Umweltsystemwissenschaft	Single Cell Microbiology	Katharina Kitzinger	2025
TT	Zentrum für Mikrobiologie und Umweltsystemwissenschaft	terrestrische Ökosystemforschung	Christina Kaiser	2019
TT	Zentrum für Mikrobiologie und Umweltsystemwissenschaft	Virus evolution	Anouk Willemsen	2023
TT	Zentrum für Sportwissenschaft und Universitätssport	Bewegungs- und Sportpädagogik – Diversität und Gesundheit	Johannes Carl	2026
TT	Zentrum für Sportwissenschaft und Universitätssport	Data Analytics im Sport	Matthias Kempe	2025
TT	Zentrum für Sportwissenschaft und Universitätssport	Neuromechanik	Hans Kainz	2020
TT	Zentrum für Sportwissenschaft und Universitätssport	Prävention und Rehabilitation im Sport	Rhoia Clara Neidenbach	2023
TT	Zentrum für Sportwissenschaft und Universitätssport	Soziologische Aspekte von Sport, Bewegung und Gesundheit	Johannes Müller	2025
TT	Zentrum für Sportwissenschaft und Universitätssport	Sportpsychologie	Peter Gröpel	2019
UP	Zentrum für Sportwissenschaft und Universitätssport	Trainingswissenschaft mit biologischer Ausrichtung	Robert Csapo	2021
TT	Zentrum für Sportwissenschaft und Universitätssport und Zentrum für Lehrer*innenbildung	Bewegungs- und Sportdidaktik	Maike Niehues	2026
UP	Zentrum für Translationswissenschaft	Computational terminology and machine translation	Dragos-Ioan Ciobanu	2020
UP	Zentrum für Translationswissenschaft	Dolmetschwissenschaft – Schwerpunkt: Kommunaldolmetschen	Sonja Pöllabauer	2020
TT	Zentrum für Translationswissenschaft	Literarisches Übersetzen	Waltraud Kolb	2020
UP	Zentrum für Translationswissenschaft	Transkulturelle Kommunikation	Cornelia Zwischenberger	2020
